,date,e,epu,tpu,count
0,2020-01-01,9,0,0,23
1,2020-01-02,32,1,1,93
2,2020-01-03,30,0,0,104
3,2020-01-04,12,0,0,41
4,2020-01-05,15,0,0,45
5,2020-01-06,31,5,1,88
6,2020-01-07,37,1,0,106
7,2020-01-08,41,3,0,96
8,2020-01-09,29,3,2,112
9,2020-01-10,44,1,1,103
10,2020-01-11,16,1,0,46
11,2020-01-12,11,1,0,41
12,2020-01-13,33,2,1,109
13,2020-01-14,29,2,1,117
14,2020-01-15,42,1,0,103
15,2020-01-16,42,2,2,106
16,2020-01-17,36,3,1,101
17,2020-01-18,17,1,0,51
18,2020-01-19,15,2,0,40
19,2020-01-20,46,3,2,104
20,2020-01-21,34,1,0,116
21,2020-01-22,33,1,1,88
22,2020-01-23,33,1,0,118
23,2020-01-24,11,0,0,29
24,2020-01-25,3,0,0,32
25,2020-01-26,6,1,1,28
26,2020-01-27,6,0,0,35
27,2020-01-28,1,0,0,41
28,2020-01-29,2,0,0,42
29,2020-01-30,5,0,0,43
30,2020-01-31,9,0,0,37
31,2020-02-01,7,0,0,44
32,2020-02-02,6,1,0,41
33,2020-02-03,27,1,1,94
34,2020-02-04,24,1,0,86
35,2020-02-05,15,1,1,92
36,2020-02-06,25,0,0,92
37,2020-02-07,15,2,0,101
38,2020-02-08,6,0,0,41
39,2020-02-09,4,0,0,36
40,2020-02-10,26,1,0,88
41,2020-02-11,21,0,0,90
42,2020-02-12,23,1,0,96
43,2020-02-13,18,0,0,90
44,2020-02-14,36,2,0,103
45,2020-02-15,12,0,0,43
46,2020-02-16,8,0,0,39
47,2020-02-17,25,0,0,90
48,2020-02-18,22,1,0,107
49,2020-02-19,30,1,1,98
50,2020-02-20,21,2,0,100
51,2020-02-21,29,2,0,100
52,2020-02-22,14,0,0,43
53,2020-02-23,6,0,0,37
54,2020-02-24,30,1,0,89
55,2020-02-25,43,1,0,98
56,2020-02-26,39,1,0,93
57,2020-02-27,29,5,2,97
58,2020-02-28,28,0,0,109
59,2020-02-29,18,0,0,38
60,2020-03-01,10,0,0,40
61,2020-03-02,34,0,0,93
62,2020-03-03,24,1,0,96
63,2020-03-04,31,0,0,88
64,2020-03-05,29,0,0,98
65,2020-03-06,26,0,0,100
66,2020-03-07,11,1,0,36
67,2020-03-08,7,0,0,33
68,2020-03-09,25,2,0,100
69,2020-03-10,31,0,0,94
70,2020-03-11,26,1,0,79
71,2020-03-12,33,0,0,101
72,2020-03-13,34,0,0,101
73,2020-03-14,13,2,0,35
74,2020-03-15,15,0,0,42
75,2020-03-16,28,0,0,100
76,2020-03-17,38,3,1,92
77,2020-03-18,29,0,0,86
78,2020-03-19,29,2,1,85
79,2020-03-20,33,3,0,99
80,2020-03-21,14,2,0,35
81,2020-03-22,11,0,0,38
82,2020-03-23,36,0,0,90
83,2020-03-24,35,5,0,101
84,2020-03-25,43,2,0,94
85,2020-03-26,35,3,0,93
86,2020-03-27,35,0,0,87
87,2020-03-28,13,1,0,40
88,2020-03-29,11,0,0,40
89,2020-03-30,30,1,0,98
90,2020-03-31,42,0,0,106
91,2020-04-01,43,1,0,100
92,2020-04-02,30,2,1,103
93,2020-04-03,43,0,0,97
94,2020-04-04,11,0,0,43
95,2020-04-05,7,0,0,44
96,2020-04-06,12,2,0,31
97,2020-04-07,28,4,1,80
98,2020-04-08,32,1,0,92
99,2020-04-09,32,1,0,99
100,2020-04-10,36,2,1,96
101,2020-04-11,14,1,0,55
102,2020-04-12,11,1,1,39
103,2020-04-13,37,0,0,96
104,2020-04-14,30,4,0,99
105,2020-04-15,35,2,0,97
106,2020-04-16,33,2,1,111
107,2020-04-17,41,0,0,92
108,2020-04-18,11,1,0,38
109,2020-04-19,11,2,0,40
110,2020-04-20,32,0,0,105
111,2020-04-21,38,3,1,97
112,2020-04-22,36,2,0,100
113,2020-04-23,36,2,0,93
114,2020-04-24,37,3,0,84
115,2020-04-25,13,0,0,38
116,2020-04-26,10,0,0,35
117,2020-04-27,37,1,0,102
118,2020-04-28,33,2,0,103
119,2020-04-29,36,1,0,103
120,2020-04-30,36,3,0,123
121,2020-05-01,14,0,0,40
122,2020-05-02,14,0,0,38
123,2020-05-03,11,0,0,36
124,2020-05-04,11,0,0,25
125,2020-05-05,12,0,0,38
126,2020-05-06,24,1,0,91
127,2020-05-07,42,2,0,104
128,2020-05-08,47,3,1,97
129,2020-05-09,7,0,0,38
130,2020-05-10,20,2,0,37
131,2020-05-11,40,2,0,98
132,2020-05-12,39,2,1,110
133,2020-05-13,41,5,2,96
134,2020-05-14,36,4,0,107
135,2020-05-15,41,4,0,89
136,2020-05-16,23,1,0,42
137,2020-05-17,20,0,0,42
138,2020-05-18,37,4,0,66
139,2020-05-19,33,0,0,87
140,2020-05-20,39,1,0,79
141,2020-05-21,29,2,1,68
142,2020-05-22,30,0,0,56
143,2020-05-23,42,8,2,58
144,2020-05-24,38,3,1,61
145,2020-05-25,40,5,4,59
146,2020-05-26,34,3,0,48
147,2020-05-27,40,0,0,78
148,2020-05-28,31,2,1,44
149,2020-05-29,42,4,2,67
150,2020-05-30,15,2,2,30
151,2020-05-31,14,7,4,28
152,2020-06-01,36,0,0,85
153,2020-06-02,34,13,0,48
154,2020-06-03,42,2,0,89
155,2020-06-04,47,1,0,106
156,2020-06-05,35,1,0,94
157,2020-06-06,12,0,0,53
158,2020-06-07,21,2,1,43
159,2020-06-08,35,10,6,86
160,2020-06-09,30,0,0,109
161,2020-06-10,40,1,0,97
162,2020-06-11,38,4,1,113
163,2020-06-12,41,1,0,100
164,2020-06-13,15,0,0,50
165,2020-06-14,12,1,0,42
166,2020-06-15,27,2,0,97
167,2020-06-16,37,0,0,93
168,2020-06-17,39,0,0,108
169,2020-06-18,36,1,0,110
170,2020-06-19,40,1,1,107
171,2020-06-20,16,1,0,51
172,2020-06-21,14,0,0,41
173,2020-06-22,33,4,0,84
174,2020-06-23,36,2,1,105
175,2020-06-24,45,3,2,92
176,2020-06-25,15,2,2,45
177,2020-06-26,14,1,1,47
178,2020-06-27,6,0,0,34
179,2020-06-28,14,0,0,38
180,2020-06-29,33,3,1,94
181,2020-06-30,40,3,2,100
182,2020-07-01,37,2,2,101
183,2020-07-02,37,2,0,112
184,2020-07-03,30,0,0,108
185,2020-07-04,13,0,0,45
186,2020-07-05,16,0,0,42
187,2020-07-06,36,1,0,104
188,2020-07-07,25,3,1,105
189,2020-07-08,38,3,1,108
190,2020-07-09,31,1,0,113
191,2020-07-10,40,0,0,102
192,2020-07-11,18,0,0,39
193,2020-07-12,13,0,0,39
194,2020-07-13,32,4,0,95
195,2020-07-14,36,3,0,101
196,2020-07-15,42,1,0,97
197,2020-07-16,41,0,0,105
198,2020-07-17,38,4,2,99
199,2020-07-18,14,0,0,47
200,2020-07-19,13,0,0,40
201,2020-07-20,33,5,1,103
202,2020-07-21,39,2,0,105
203,2020-07-22,36,6,2,87
204,2020-07-23,42,2,0,92
205,2020-07-24,44,1,0,92
206,2020-07-25,12,0,0,47
207,2020-07-26,16,2,1,42
208,2020-07-27,35,3,1,100
209,2020-07-28,29,2,1,105
210,2020-07-29,42,2,1,108
211,2020-07-30,37,3,0,104
212,2020-07-31,36,1,0,96
